R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.5E-5,0.055,0.055,0.0,360.0,5.9,1.1E-18,9.3E-29,2.3,2.2E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.3E-5,0.055,0.055,0.0,360.0,5.9,1.1E-18,4.4E-29,2.3,2.3E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.1E-5,0.055,0.055,0.0,350.0,5.9,1.1E-18,2.7E-29,2.3,2.5E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,9.8E-6,0.055,0.055,0.0,350.0,5.9,1.1E-18,2.0E-29,2.3,2.6E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.2E-5,0.055,0.055,0.0,350.0,5.9,1.2E-18,1.9E-29,2.3,2.4E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.3E-5,0.055,0.055,0.0,350.0,5.9,1.2E-18,2.1E-29,2.3,2.3E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.2E-5,0.055,0.055,0.0,350.0,5.9,1.2E-18,2.1E-29,2.3,2.4E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.1E-5,0.055,0.055,0.0,350.0,5.9,1.2E-18,2.0E-29,2.3,2.4E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,9.8E-6,0.055,0.055,0.0,340.0,5.9,1.2E-18,1.9E-29,2.3,2.6E7,1.0,6.7E8,
3.6E-38,0.0074,6500.0,2300.0,780.0,3699999.9999999995,2400.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,8.6E-6,0.055,0.055,0.0,340.0,5.9,1.2E-18,1.7E-29,2.3,2.7E7,1.0,6.7E8,
