R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,4.2E-5,0.07,0.07,0.0,410.0,12.0,0.0,0.0,2.1E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.7E-5,0.07,0.07,0.0,400.0,12.0,0.0,0.0,2.2E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.2E-5,0.07,0.07,0.0,400.0,12.0,0.0,0.0,2.3E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.7E-5,0.07,0.07,0.0,400.0,12.0,0.0,0.0,2.5E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.3E-5,0.07,0.07,0.0,390.0,12.0,0.0,0.0,2.6E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.9E-5,0.07,0.07,0.0,380.0,12.0,0.0,0.0,2.8E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.9E-5,0.07,0.07,0.0,380.0,12.0,0.0,0.0,2.8E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.3E-5,0.07,0.07,0.0,380.0,12.0,0.0,0.0,2.6E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.4E-5,0.07,0.07,0.0,380.0,12.0,0.0,0.0,2.6E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.4E-5,0.07,0.07,0.0,370.0,12.0,0.0,0.0,2.6E7,1.0,7.2E8,
1.8E-37,0.053,4700.0,7000.0,5300.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.1E-5,0.07,0.07,0.0,370.0,12.0,0.0,0.0,2.7E7,1.0,7.2E8,
1.6E-37,0.029,560.0,7600.0,5300.0,4600000.0,2600.0,1400.0,1900.0,220.0,2300.0,0.17,4700000.0,0.92,0.074,0.074,0.0,380.0,15.0,0.0,0.0,2.8E7,1.0,7.2E8,
8.7E-38,0.016,560.0,43.0,5300.0,4500000.0,2600.0,1400.0,1900.0,220.0,2300.0,0.17,4500000.0,2.9E-5,0.066,0.066,0.0,370.0,15.0,0.0,0.0,2.6E7,1.0,7.2E8,
8.5E-38,0.016,560.0,43.0,5300.0,4300000.0,2600.0,1400.0,1900.0,220.0,2300.0,0.17,4300000.0,3.3E-5,0.063,0.063,0.0,370.0,15.0,0.0,0.0,2.5E7,1.0,7.2E8,
1.1E-37,0.016,560.0,7.9,6100.0,4500000.0,2600.0,1400.0,1900.0,220.0,2300.0,0.17,4600000.0,5.1E-5,0.053,0.053,0.0,380.0,20.0,0.0,0.0,2.4E7,1.0,7.2E8,
1.1E-37,0.016,560.0,7.9,6100.0,4300000.0,2500.0,1400.0,1900.0,220.0,2300.0,0.17,4300000.0,5.7E-5,0.052,0.052,0.0,380.0,20.0,0.0,0.0,2.2E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6100.0,4099999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,4099999.9999999995,6.3E-5,0.05,0.05,0.0,370.0,19.0,0.0,0.0,2.2E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,7.0E-5,0.048,0.048,0.0,370.0,19.0,0.0,0.0,2.0E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,7.2E-5,0.048,0.048,0.0,370.0,19.0,0.0,0.0,2.0E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,6.8E-5,0.048,0.048,0.0,360.0,19.0,0.0,0.0,2.1E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,5.9E-5,0.048,0.048,0.0,360.0,19.0,0.0,0.0,2.2E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,5.1E-5,0.048,0.048,0.0,360.0,19.0,0.0,0.0,2.3E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,4.3E-5,0.048,0.048,0.0,350.0,19.0,0.0,0.0,2.4E7,1.0,7.2E8,
